address,symbol,decimals,name
AD27ov5fVU2XzwsbvnFvb1JpCBaCB5dRXrczV9CqSVGb,REAL,9,Realy Token
DmXfDUeyRJqnpvdjssGgUXwZrRFPXvu2DfMq4jfTTC9C,WEENS,0,Ween
CASHVDm2wsJXfhj6VWxb7GiMdoLc17Du7paH4bNr5woT,CASH,6,Cashio Dollar
3Ysmnbdddpxv9xK8FUKXexdhRzEA4yrCz8WaE6Za5sjV,EDX,9,edeXa Service Token
DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh,DFL,9,DeFi Land
HCgybxq5Upy8Mccihrp7EsmwwFqYZtrHrsmsKwtGXLgW,STARS,6,StarLaunch
88881Hu2jGMfCs9tMu5Rr7Ah7WBNBuXqde4nR5ZmKYYy,sUSDC-8,8,Saber Wrapped USD Coin (8 decimals)
9999j2A8sXUtHtDoQdk528oVzhaKBsXyRGZ67FKGoi7H,sBTC-9,9,Saber Wrapped Bitcoin (Sollet) (9 decimals)
C9xqJe3gMTUDKidZsZ6jJ7tL9zSLimDUKVpgUbLZnNbi,sCASH-9,9,Saber Wrapped CASH (9 decimals)
FTT9GrHBVHvDeUTgLU8FxVJouGqg9uiWGmmjETdm32Sx,swFTT-9,9,Saber Wrapped FTT (Portal) (9 decimals)
JEFFSQ3s8T3wKsvp4tnRAsUBW7Cqgnf8ukBZC4C8XBm1,sUSDC-9,9,Saber Wrapped USD Coin (9 decimals)
KUANeD8EQvwpT1W7QZDtDqctLEh2FfSTy5pThE9CogT,srenLUNA-9,9,Saber Wrapped renLUNA (9 decimals)
6uZ7MRGGf3FJhzk9TUk3QRMR2fz83WY9BEVBukRvMRVX,NANA,9,NANA
8XSsNvaKU9FDhYWAv7Yc7qSNwuJSzVrXBNEk7AFiWF69,abUSDC,9,Wrapped USDC (Allbridge from BSC)
5gs8nf4wojB5EXgDUWNLwXpknzgV2YWDhveAeBZpVLbp,XTAG,6,xHashtag Token
FdvkkCbCgYht1xTR1W9MBJhEF1JEPVhHtW1NXBYRzZts,afBTC,9,Wrapped BTC (Allbridge from Fantom)
BiryxNvVTABRs3pEE4fvVuu4d17aAYEsNmcPnJ8E8WeT,afETH,9,Wrapped ETH (Allbridge from Fantom)
Grk6b4UMRWkgyq4Y6S1BnNRF4hRgtnMFp7Sorkv6Ez4u,afUSDC,9,Wrapped USDC (Allbridge from Fantom)
7rmV64vLfbrbS5rTFvojYWzCVEn8dnJ9RfSRx3nD6C5E,MARIO,4,Super Mario
G9tt98aYSznRk7jWsfuz9FnTdokxS6Brohdo9hSmjTRB,PUFF,9,PUFF
AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,9,GST
7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,9,GMT
HnZiKrSKYQkEfzjQs6qkvuGbBmrBP9YzjB1SMM7tiGZ1,SUCH,9,Such Shiba
HHjoYwUp5aU6pnrvN4s2pwEErwXNZKhxKGYjRJMoBjLw,PIP,9,PIP
GWsZd8k85q2ie9SNycVSLeKkX7HLZfSsgx6Jdat9cjY1,PCN,9,Pollen Coin
NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,BLOCK,6,Blockasset
6c4L5nTH2sBKkfeuP3WhGp6Vq1tE4Suh4ezRp5KSu8Z7,FANI,9,FANITRADE
GEJpt3Wjmr628FqXxTgxMce1pLntcPV4uFi8ksxMyPQh,daoSOL,9,daoSOL Token
CRWNYkqdgvhGGae9CKfNka58j6QQkaD5bLhKXvUYqnc1,CRWNY,6,Crowny token
Basis9oJw9j8cw53oMV7iqsgo6ihi9ALw4QR31rcjUJa,BASIS,6,basis
A7rqejP8LKN8syXMr4tvcKjs2iJ4WtZjXNs1e6qP3m9g,Zion,9,Zion
SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,SHDW,9,Shadow Token
3KTkQJEMJXP741EJBFcAS34Lx9t8GsBYaW2BUUWkeyDH,CC,9,Castle Coin
MEANeD3XDdUmNMsRGjASkSWdC8prLYsoRJ61pPeHctD,MEAN,6,MEAN
3e9pHUxa2nvAqso2Kr2KqJxYvZaz9qZLjoLaG77uQwB1,BAIL,9,BAIL COIN
At5j3zhbEj8mfFsSy1MPbjVhrX2uNmRMPEDZiyFcETNX,BRWNDO,4,BRAWNDO
FmpqmVcT4hSUfNhach31YUpf6M75bBYaC59JLMyCVNHH,GOOSE,9,Mongoose
PRSMNsEPqhGVCH1TtWiJqPjJyh2cKrLostPZTNy1o5x,PRISM,6,PRISM
3UCMiSnkcnkPE1pgQ5ggPCBv6dXgVUy16TmMUe1WpG9x,ALEPH,8,Aleph.im (Portal)
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,bSOL,9,BlazeStake Staked SOL (bSOL)
GzpRsvnKXKz586kRLkjdppR4dUCFwHa2qaszKkPUQx6g,LOOT,6,LOOT
SuperbZyz7TsSdSoFAZ6RYHfAWe9NmjXBLVQpS8hqdx,SB,6,SuperBonds Token
F3nefJBcejYbtdREjui1T9DPh5dBgpkKq7u2GAAMXs5B,AART,6,ALL ART
METAmTMXwdb8gYzyCPfXXFmZZw4rUsXX58PNsDg7zjL,SLC,6,Solice
boomh1LQnwDnHtKxWTFgxcbdRjPypRSjdwxkAEJkFSH,BMA,9,Boom Army
94jMUy411XNUw1CnkFr2514fq6KRc49W3kAmrjJiuZLx,SYXT,9,SolanyxToken
674PmuiDtgKx3uKuJ1B16f9m5L84eFvNwj3xDMvHcbo7,$WOOD,9,Mindfolk Wood
AAXng5czWLNtTXHdWEn9Ef7kXMXEaraHj2JQKo7ZoLux,DGE,9,DarleyGo Essence
DsVPH4mAppxKrmdzcizGfPtLYEBAkQGK4eUch32wgaHY,GXE,9,Galaxy Essential
ATZERmcPfopS9vGqw9kxqRj9Bmdi3Z268nHXkGsMa3Pf,FONE,2,Fone
nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,NOS,6,Nosana
A1KWZzcUrsX9MAsL8XtZkuS4RX6fjZazc7K5UoX42M3M,ARTZ,4,Artozo
CKaKtYvz6dKPyMvYq9Rh3UBrnNqYZAyd7iF4hJtjUvks,GARI,9,Gari
pH5wWJc3KhdeVQSt86DU31pdcL9c8P88x2FQoKEJVHC,BXS,9,Bancambios AX
CkD9GDPqME11zrFt7Lk51jdQSuPmP1nRULUWbBYj2Ngq,B4C,6,b4c meme coin
CASHedBw9NfhsLBXq1WNVfueVznx255j8LLTScto3S6s,sCASH-8,8,Saber Wrapped Cashio Dollar (8 decimals)
EU9aLffrTckFCs16da6CppHy63fAxMPF9ih1erQTuuRt,sagEUR-9,9,Saber Wrapped agEUR (Portal) (9 decimals)
GNCjk3FmPPgZTkbQRSxr6nCvLtYMbXKMnRxg8BgJs62e,CELO,9,CELO (Allbridge from Celo)
EsPKhGTMf3bGoy4Qm7pCv3UCcWqAmbC1UGHBTDxRjjD4,FTM,9,FTM (Allbridge from Fantom)
HovGjrBGTfna4dvg6exkMxXuexB3tUfEZKcut8AWowXj,FCON,4,Space Falcon
76DThuyLHagfkm2ssYw6Lv7k3MYHx6tXcwPBLU9tXm4D,BASIC,9,Basic Tokens
DiWunPY8GfsFthdDAwiRRtCgKCB5AEcFx9edDpxZoTyo,GMORNN,9,gmornn
HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,HBB,6,Hubble Protocol Token
F2CcdH4uXVL6vwutkFMtHWFaj87dYSh9WMWNqzsMmTUG,ENC,9,crypt
USDH1SM1ojwWUga67PGrgFWUHibbjqMvuMaDkRJTgkX,USDH,6,USDH Hubble Stablecoin
EGiWZhNk3vUNJr35MbL2tY5YD6D81VVZghR2LgEFyXZh,BIT,9,BIT Token
CY2E69dSG9vBsMoaXDvYmMDSMEP4SZtRY1rqVQ9tkNDu,NFD,8,Feisty Doge NFT
Taki7fi3Zicv7Du1xNAWLaf6mRK7ikdn77HeGzgwvo4,TAKI,9,Taki
DUSTawucrTsGU8hcqRdHDCbuYhCPADMLM2VcCb8VnFnQ,DUST,9,DUST Protocol
H1QvHLhmk4rL36FBphnFUaQszf6RHGU8RLptPSuPcQwX,BUGS,9,BUGS
5XiE2JApnDwGc24PSY7y7stD4JxStkYPAH5tFVKAcrow,ORIA,2,Memoria
CBV12y1pehFbhdnDpUfgPe88SbUZ5G2s1kLA449Yu3Ad,GUARD,6,VANGUARD
BdZPG9xWrG3uFrx2KrUW1jT4tZ9VKPDWknYihzoPRJS3,prtSOL,9,prtSOL (Parrot Staked SOL)
GVsdtSe3E2fQoP3TzNT2M1VUchJ7sBmDBuvBZmGDGvmB,PEEL,9,PEEL
68RRPuZQrrw3whXHm9LSyC4y8iLrjkTm5Brc2tUMLNPw,CLAN,9,Clan Token
8ZepSXp47WFyDK21QbvMiiKVWRHnGrAegiwDr71PfGi3,$ROBO,9,ROBO Coin
5yw793FZPCaPcuUN4F61VJh2ehsFX87zvHbCA4oRebfn,RICE,2,RICE
hone3CJTYjczb5nJh45KCNMkjrKMt7SCnHkWGWsVfVu,HONE,0,Yokoito Crew Hone
B8wCsjSv3TDZcaLuhPZNDvpk2vuBtRgpgmTuvoDAJZZ7,CHIMP,9,Chimp
EcQCUYv57C4V6RoPxkVUiDwtX1SP8y8FP5AEToYL8Az,WLKN,9,Walken
GpQLC7KnNgAvEpamfWi1AWFdXECZ1eQetvFYTuETLZC7,SPM,9,SchimmelPeter Monster
2Tp4hCJ24aRnsLShz9U96VtTSDHuaKL7eD7vj8Stvxhn,HENDX,6,Hendrix Token
Code7hV6DaK5Werof8c7vPwBxLvhmEWVUbU2AfhBZArB,CODE,6,Code
H3pWoh5Te12nHYVSQm1vQC6aAn2EbADj8zit23jP2jX3,FAC,9,FAC FUD Token
de1QJkP1qDCk5JYCCXCeq27bQQUdCaiv7xVKFrhPSzF,DELFI,6,DeltaFi Token
GmY2Rp9t5S4yD5jhgJrc47VSAa6hQiikkYi3sr9HLNZr,BLEEP,4,BLEEP
HuMShjViKhcfihmHkgvctcFAyeyxAk8hK5K58zWpuRKf,DREAM,9,DREAM TOKEN
EeLpRX4pgS4zPTQQfoHqqhBvoLzL83wPExmQoG5e1hnb,CRAFT,9,CRAFT COIN
